step	agent_count	population_weight_total	average_pathway	average_support	average_intensity	良好_share	中立_share	注意_share	危険_share	withdrawal_pressure	institution_demand_pressure	livelihood_defense_pressure	learning_transition_pressure	solidarity_pressure	information_overload_pressure	care_pressure	side_effect_pressure	policy_fatigue_pressure	fairness_gap_pressure	coercion_pressure	fiscal_anxiety_pressure	feedback_summary
1	20	75.0	49.2	48.7	56.1	5.8	35.3	58.9	0.0	0.0	2.2	22.3	0.8	0.3	25.7	4.8	58.9	45.9	52.5	0.0	4.4	公平感欠損52.5、政策疲労45.9、情報過敏25.7
2	20	75.0	49.2	49.3	58.0	0.0	32.2	67.8	0.0	2.2	5.0	18.8	0.6	0.0	25.3	4.7	89.7	51.0	53.4	0.0	17.5	公平感欠損53.4、政策疲労51.0、情報過敏25.3
3	20	75.0	47.2	47.3	61.6	0.0	16.1	83.9	0.0	0.0	7.3	36.4	3.7	0.0	11.2	4.8	95.6	56.4	55.5	0.0	33.7	政策疲労56.4、公平感欠損55.5、生活防衛36.4
4	20	75.0	43.4	43.4	66.3	0.0	0.0	100.0	0.0	0.0	5.4	20.5	7.5	0.0	25.4	5.6	100.0	61.5	58.4	0.0	26.4	政策疲労61.5、公平感欠損58.4、情報過敏25.4
5	20	75.0	45.0	47.3	65.2	0.0	0.0	100.0	0.0	0.0	12.3	14.3	0.0	0.0	36.0	5.3	100.0	61.2	57.1	0.0	23.4	政策疲労61.2、公平感欠損57.1、情報過敏36.0
6	20	75.0	43.3	48.7	67.5	0.0	0.0	100.0	0.0	0.0	9.9	31.0	1.2	0.0	21.9	5.4	100.0	64.6	57.4	0.0	29.2	政策疲労64.6、公平感欠損57.4、生活防衛31.0
7	20	75.0	41.4	49.8	68.8	0.0	0.0	100.0	0.0	0.0	14.2	38.9	0.5	0.0	17.3	5.7	100.0	66.4	58.8	0.0	35.0	政策疲労66.4、公平感欠損58.8、生活防衛38.9
8	20	75.0	39.9	49.6	68.7	0.0	0.0	100.0	0.0	0.0	10.5	46.8	0.8	0.0	10.3	5.9	100.0	68.2	59.4	0.0	35.0	政策疲労68.2、公平感欠損59.4、生活防衛46.8
9	20	75.0	37.6	48.5	69.6	0.0	0.0	100.0	0.0	0.0	3.6	30.2	0.8	0.0	26.3	5.8	100.0	70.4	59.2	0.0	23.4	政策疲労70.4、公平感欠損59.2、生活防衛30.2
10	20	75.0	38.8	51.1	68.8	0.0	0.0	100.0	0.0	0.0	10.9	18.3	6.2	0.0	31.7	5.4	100.0	70.7	56.1	0.0	17.5	政策疲労70.7、公平感欠損56.1、情報過敏31.7
11	20	75.0	37.0	46.9	69.2	0.0	0.0	94.2	5.8	2.0	6.7	31.8	10.9	0.0	16.6	5.6	100.0	72.3	58.2	0.0	23.4	政策疲労72.3、公平感欠損58.2、生活防衛31.8
12	21	76.67	37.1	48.2	69.0	0.0	4.3	89.9	5.7	2.0	11.0	42.3	0.5	0.0	15.3	5.6	100.0	72.6	57.5	0.0	11.4	政策疲労72.6、公平感欠損57.5、生活防衛42.3
13	21	76.67	34.9	46.4	71.8	0.0	0.0	94.3	5.7	2.0	4.8	23.0	0.9	0.0	33.6	5.9	100.0	76.0	58.0	0.0	11.4	政策疲労76.0、公平感欠損58.0、情報過敏33.6
14	21	76.67	35.3	47.4	71.0	0.0	0.0	100.0	0.0	0.0	6.8	35.6	6.9	0.0	16.3	5.8	100.0	76.6	58.2	0.0	5.7	政策疲労76.6、公平感欠損58.2、生活防衛35.6
15	21	76.67	36.6	50.4	68.0	0.0	4.3	95.7	0.0	0.0	14.4	38.3	3.4	0.0	14.2	5.4	100.0	75.2	57.1	0.0	0.0	政策疲労75.2、公平感欠損57.1、生活防衛38.3
16	21	76.67	36.1	50.8	68.9	0.0	0.0	100.0	0.0	2.9	13.3	43.2	7.2	0.0	5.8	5.3	100.0	75.5	57.4	0.0	4.4	政策疲労75.5、公平感欠損57.4、生活防衛43.2
17	21	76.67	34.1	48.9	70.5	0.0	0.0	100.0	0.0	0.0	11.1	29.6	8.1	0.0	21.0	5.5	100.0	78.6	59.1	0.0	4.4	政策疲労78.6、公平感欠損59.1、生活防衛29.6
18	21	76.67	32.7	46.4	71.2	0.0	0.0	100.0	0.0	0.0	5.4	29.9	0.0	0.0	26.8	5.8	100.0	80.8	60.4	0.0	4.3	政策疲労80.8、公平感欠損60.4、生活防衛29.9
19	21	76.67	34.7	48.9	68.3	0.0	0.0	100.0	0.0	0.0	6.7	22.4	1.6	0.0	31.7	5.7	100.0	76.1	58.0	0.0	10.1	政策疲労76.1、公平感欠損58.0、情報過敏31.7
20	21	76.67	36.0	50.4	68.0	0.0	5.7	88.6	5.7	1.9	7.9	23.1	5.4	0.0	26.2	5.2	94.3	73.9	57.1	0.0	14.4	政策疲労73.9、公平感欠損57.1、情報過敏26.2
21	21	76.67	36.8	50.3	66.6	0.0	5.7	94.3	0.0	0.0	11.1	42.3	0.4	0.0	13.0	5.0	100.0	73.4	56.1	0.0	23.1	政策疲労73.4、公平感欠損56.1、生活防衛42.3
22	21	76.67	34.8	48.0	68.0	0.0	10.1	89.9	0.0	0.0	5.5	32.4	0.0	0.0	23.7	5.3	100.0	74.4	56.9	0.0	23.1	政策疲労74.4、公平感欠損56.9、生活防衛32.4
23	21	76.67	33.6	45.7	69.4	0.0	0.0	95.7	4.3	1.5	6.5	49.3	0.0	0.0	9.8	6.0	100.0	76.8	58.2	0.0	20.1	政策疲労76.8、公平感欠損58.2、生活防衛49.3
