step	country_code	country_name	country_name_en	region	risk_stage	stance	foreign_action	domestic_message	private_constraint	geopolitical_risk	energy_price_pressure	labor_market_uncertainty	compute_supply_constraint	fiscal_pressure	supply_chain_fragility	sns_anxiety_amplification	japan_policy_buffer	japan_impact_summary
1	USA	アメリカ	United States	北米	圧力上昇	同盟負担増とAI統制	同盟に防衛・制裁協力を要請、対中半導体規制を強化	生活費対策を続けつつ国益と抑止を守る	分断と選挙で長期負担が続けにくい	66.0	58.0	53.0	72.0	44.0	61.0	57.0	49.0	防衛負担と技術制約で将来設計が揺れ、慎重志向が増える
1	CHN	中国	China	東アジア	境界的圧力	台湾抑止と雇用安定を優先	対台軍事示威と輸出管理迂回の拡大	外圧に対抗し景気と雇用を守る	成長鈍化で強硬姿勢が正統性の支え	78.0	46.0	62.0	58.0	40.0	74.0	66.0	44.0	安全保障と雇用の不確実性が重なり将来像が曇る
1	JPN	日本	Japan	東アジア	圧力上昇	生活防衛と抑止の同時運用	米国等と協議し原油調達を分散	停戦でも不安定、物価対策を継続	財政制約で防衛・生活・若者策が競合	58.0	61.0	46.0	34.0	63.0	52.0	57.0	44.0	生活費不安が将来観を曇らせるが支援が見えれば緩和
1	TWN	台湾	Taiwan	東アジア	境界的圧力	抑止強化と供給継続	米日と抑止協調、半導体供給の冗長化	危機管理を強化し、生活と雇用を守る	エネルギー脆弱で物価が政権負担	74.0	58.0	52.0	36.0	49.0	67.0	63.0	55.0	海峡不安と物価観測で将来不安が増幅、進路選好が保守化
1	KOR	韓国	South Korea	東アジア	圧力上昇	半導体守り同盟協調	対米協議で抑止強化と輸出管理を調整	雇用と安保を同時に守る現実路線	対中依存と対米協調の板挟みが続く	60.0	52.0	56.0	45.0	54.0	58.0	53.0	50.0	半導体・雇用の不確実性が増し将来感が揺れやすい
1	PRK	北朝鮮	North Korea	東アジア	間接衝突	挑発管理で体制威信維持	短距離発射と核言及で交渉圧力を演出	外圧に屈せず自衛力で体制を守る	制裁・食糧難で挑発が統治装置化	78.0	44.0	57.0	49.0	52.0	61.0	73.0	46.0	安全不安が増幅し将来設計が萎縮、挑戦回避へ
1	RUS	ロシア	Russia	ユーラシア	間接衝突	制裁耐久と資源収入維持	資源輸出を迂回し価格影響を交渉	対外圧力下でも雇用と物価を守る	戦費と制裁で投資停滞、体制求心力不安	72.0	64.0	52.0	58.0	46.0	57.0	49.0	44.0	資源高と安全保障不安で将来像が曇り、挑戦回避が増える
1	UKR	ウクライナ	Ukraine	欧州	限定戦争	継戦と復興資金の確保	欧米支援の維持と停戦監視強化を要請	停戦は不安定、国を守り生活も支える	人的損耗と財政枯渇で交渉余地が狭い	66.0	41.0	52.0	36.0	62.0	47.0	54.0	49.0	戦争長期化観測が広がり将来不安が増える
1	IRN	イラン	Iran	中東	境界的圧力	停戦維持と抑止を両立	航路攪乱は抑え制裁緩和の交渉を継続	停戦下でも警戒を維持し生活を守る	体制正統性と経済難で強硬圧力が残る	61.0	67.0	46.0	39.0	52.0	58.0	63.0	49.0	原油不安と再燃報道で将来像が揺れ、挑戦が慎重化
1	ISR	イスラエル	Israel	中東	境界的圧力	抑止維持と技術確保	対イラン再燃に備え同盟協調と対空強化	停戦下でも脅威は継続、警戒と経済維持	長期動員と分断で財政・世論が摩耗	66.0	60.0	52.0	46.0	62.0	54.0	58.0	49.0	中東再燃不安で将来設計が揺れ、コスト高が焦燥を増す
1	SAU	サウジアラビア	Saudi Arabia	中東	圧力上昇	増産余地を残し市場安定	OPEC+で供給枠調整、対米関係維持	国家収入と物価安定を両立させる	治安・改革費用で減産も増産も痛い	46.0	67.0	41.0	18.0	44.0	38.0	52.0	56.0	燃料高が生活不安を増幅。賃上げ停滞で将来像が曇る
1	EU	欧州連合	European Union	欧州	圧力上昇	規制と景気維持の両立	対露制裁維持と対日技術協力を調整	安全と物価の両立へ規制は現実路線	加盟国分裂と物価反発で合意が脆い	46.0	52.0	44.0	33.0	49.0	41.0	38.0	57.0	物価と雇用の先行き不安が残り進路選択が慎重化
2	USA	アメリカ	United States	北米	圧力上昇	同盟結束とAI覇権維持	対中先端半導体規制強化、同盟に投資協調要求	雇用移行支援と競争力強化で国益を守る	分断と選挙で負担増に耐性が低い	68.0	60.0	58.0	78.0	47.0	66.0	61.0	45.0	計算資源不足と雇用不安が重なり、将来設計が保守化
2	CHN	中国	China	東アジア	境界的圧力	AI主権と雇用安定を優先	対日・対米で技術交渉圧力と迂回調達拡大	外部封じ込めに耐え成長と雇用を守る	投資競争で財政はあるが失速が怖い	80.0	48.0	66.0	64.0	43.0	78.0	69.0	41.0	半導体・雇用不安が重なり、挑戦より慎重が増える
2	JPN	日本	Japan	東アジア	圧力上昇	供給網と雇用不安の抑制	米欧と連携し計算資源確保と調達分散	AI競争下でも生活と雇用を守る	財政制約で若者策と産業支援が競合	60.0	59.0	57.0	49.0	66.0	55.0	63.0	41.0	仕事の先行き不安が増幅し、将来像が短期化する
2	TWN	台湾	Taiwan	東アジア	境界的圧力	抑止維持と産業防衛	米日欧と供給協議、輸出管理に適応	危機に備え雇用と物価を守る	電力・燃料脆弱で投資余力が限定	77.0	61.0	58.0	44.0	54.0	72.0	68.0	53.0	AI競争と海峡不安が重なり、進路不安が強まり安全志向が増す
2	KOR	韓国	South Korea	東アジア	境界的圧力	技術主権を優先し防衛線	対米で輸出管理強化と共同R&D枠拡大	雇用転換と安保を同時に守る現実策	対中市場損失と若者不満の火種が残る	63.0	54.0	61.0	58.0	57.0	62.0	59.0	47.0	半導体・職の先行き不透明が増し焦燥と分断が強まる
2	PRK	北朝鮮	North Korea	東アジア	間接衝突	挑発を調整し交渉圧を維持	発射示威とサイバーで存在感と資金確保	強硬抑止で尊厳と生活を守ると強調	制裁と物資不足で外圧演出が統治の柱	82.0	46.0	61.0	56.0	54.0	63.0	77.0	44.0	安保不安とAI競争不透明感が重なり将来像が縮む
2	RUS	ロシア	Russia	ユーラシア	間接衝突	資源収入維持とAI制裁迂回	資源輸出の迂回強化と取引条件の硬化	制裁下でも賃金と物価を下支えする	半導体・投資不足で成長の糊代が薄い	74.0	66.0	56.0	62.0	50.0	60.0	52.0	42.0	資源高と技術閉塞で将来不安が増し挑戦が鈍る
2	UKR	ウクライナ	Ukraine	欧州	限定戦争	継戦維持とAI産業協力確保	欧米に軍事・復興支援継続とAI/計算資源協力要請	支援確保で防衛と生活基盤を同時に守る	戦費と人員損耗で交渉力が細り余力がない	68.0	44.0	56.0	48.0	66.0	49.0	58.0	47.0	AI競争と戦争観測が重なり就職と将来像が揺れ不安が増す
2	IRN	イラン	Iran	中東	境界的圧力	停戦管理と対内統制優先	対米再燃回避し制裁緩和を探る	強硬姿勢を保ち生活防衛を進める	経済難と強硬派圧力で譲歩困難	64.0	70.0	49.0	45.0	55.0	60.0	66.0	47.0	AI競争報道と原油不安が重なり、将来設計が保守化しやすい
2	ISR	イスラエル	Israel	中東	間接衝突	抑止維持とAI優位確保	米欧とAI協力、輸出管理を強化	停戦下でも備え継続、成長投資も守る	動員長期化で財政と世論が消耗	67.0	62.0	56.0	50.0	64.0	57.0	61.0	47.0	AI競争と中東再燃不安が重なり、将来像が霧化し焦りが増す
2	SAU	サウジアラビア	Saudi Arabia	中東	圧力上昇	原油安定とAI投資を両立	OPEC+調整継続、米中とAI投資交渉	収入確保で改革と雇用を守る	価格下落は財政直撃、技術移転は条件戦	44.0	63.0	45.0	23.0	46.0	39.0	54.0	55.0	燃料高が可処分所得を圧迫。AI不安で将来像が揺れる
2	EU	欧州連合	European Union	欧州	圧力上昇	規制主導で産業防衛	AI規制整合と対外投資審査を強化	雇用保護と安全のため規制を前倒し	加盟国温度差と景気悪化で妥協が必要	48.0	54.0	56.0	41.0	52.0	46.0	44.0	55.0	AI職の揺れが不安を増やすが規制協調で将来像は保てる
3	USA	アメリカ	United States	北米	境界的圧力	対中抑止と同盟負担要求	対中抑止を強化し日台周辺の連携を要請	供給網と雇用を守るため強硬に対応	選挙・分断で長期負担の継続が難しい	74.0	63.0	61.0	86.0	52.0	78.0	69.0	41.0	半導体不安で就職・学習投資が萎縮、将来観が短期化
