step	planner_id	scenario_mode	model	diagnosis	policy_count	total_budget_cost_0to1	dominant_issue	adjustment_strategy
1	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	地政学・エネルギー高で不安が増幅。制度信頼と生活維持の担い手が摩耗し二極化が進む。	2	0.90	雇用不安	信頼先行・負担緩衝
2	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧と公平感欠損が高く、対象外感が不信と疲労を増幅しやすい	2	0.30	対象外反発	対象外感の最小化と手続き摩擦低減
3	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が突出し、公平感欠損と政策疲労が『対象外反発』を増幅。手続き負担も再燃。	2	0.42	対象外反発	副作用先行・対象外救済の可視化
4	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧95.6が突出。説明と救済が多層化し、対象外感と手続き疲れが政策疲労・公平感欠損を増幅。	2	0.36	政策疲労	窓口負荷分散と束ね直し
5	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧100で不信と疲労が先行。入口集中と情報過多が公平感欠損を増幅。	2	0.33	政策疲労	入口最小化と負荷分散
6	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧100と政策疲労61が支配。入口集中と説明過多が不信・対象外感を増幅。	2	0.33	政策疲労	入口負荷分散×最小情報
7	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧100と政策疲労64.6が突出。供給網不安下で窓口混雑と不公平感が増幅。	2	0.33	政策疲労	入口負荷分散＋最小説明で摩擦低減
8	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧が極大で、公平感欠損と政策疲労が固定化。入口強化だけでは不信が残る。	2	0.44	政策疲労	副作用可視化と境界救済
9	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧100で不信と疲労が拡大、境界層の対象外感がSNSで増幅し二極化が進行。	2	0.44	政策疲労	炎上耐性と境界救済の再設計
10	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧100で炎上・不信が増幅し、政策疲労と公平感欠損が固定化しつつある。	2	0.26	政策疲労	公開順序の再設計＋境界不安の説明圧縮
11	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧100と政策疲労70.7が高止まり。SNS不安で誤解と反発が増幅しやすい。	2	0.44	政策疲労	手続き統合＋炎上抑制順序
12	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧100と政策疲労72が臨界。境界層の対象外反発がSNS不安を増幅。	2	0.34	政策疲労	増やさず摩擦削減＋透明化
13	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	SNS不安増幅下で副作用圧が限界、説明と運用差が炎上し政策疲労と対象外反発が固定化	2	0.40	政策疲労	炎上前の軽量対話＋運用誤差吸収
14	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧100と政策疲労76が臨界。追加より誤振分け救済と説明順序で不安連鎖を止める。	2	0.40	政策疲労	炎上抑制と境界救済の最小再設計
15	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用懸念が最大化し、手続き疲れと公平感欠損が政策疲労を固定化している	2	0.50	政策疲労	増やさず束ねて信頼回復
16	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用懸念が飽和し、手続き疲れと自治体差が公平感を削って制度不信が固定化しつつある	2	0.50	政策疲労	増やさず整える二点補修
17	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	副作用圧100と政策疲労75.5が臨界。増やすより、説明・申立て・対象条件の歪みを整えないと反発が固定化。	2	0.30	政策疲労	増やさず整える（要点返信×対象外救済）
18	POLICY_PLANNER	policy_search_with_sustain	gpt-5.2	政策疲労と副作用圧が限界。説明過多と対象外感が公平感を毀損。	2	0.30	政策疲労	増設抑制＋対象外感の先回り救済
