イベントID	step	区分	イベント名	強度_0to1	対象	主な影響方向	発生源	関連国	日本社会状態	若者への入力文
OE001	1	組織判断	企業・組織の採用育成判断	0.42	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	未来通信システム株式会社: 新卒は厳選維持、中途はセキュリティ系を増枠 / 北関東精密加工株式会社: 新卒は少数精鋭で継続、中途は工程・品質の即戦力重視 / 首都圏業務支援株式会社: 新卒は絞り、AI運用・BPO設計の中途を厚めに採用	未来通信システム株式会社: 安定志向が強まり、採用競争はAI枠に集中 / 北関東精密加工株式会社: 少数採用で不安は増えるが、技能×AIで成長機会は残る / 首都圏業務支援株式会社: 新卒枠が狭まり不安増、AI運用スキルで差が付く 現役側には 未来通信システム株式会社: 保安・BCP対応が増え、負荷と再教育が上がる / 北関東精密加工株式会社: 現場に再訓練負荷、ただし属人作業が減り負担は平準化 / 首都圏業務支援株式会社: 定型業務縮小で再配置圧、監督職は負荷と重要性が増す
WE001	1	戦争	世界限定戦争発生	0.95	全体	将来予見性↓ 生活防衛↑ 制度信頼↓	国家LLMリスク段階	ウクライナ	ステップ1: 地政学リスクが64.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は50.0。	ウクライナが限定戦争段階に入り、長期計画と生活安心感が揺らぐ。
WE002	1	世界イベント	間接衝突拡大	0.72	全体	地政学リスク↑ SNS不安↑	国家LLMリスク段階	北朝鮮、ロシア、イスラエル	ステップ1: 地政学リスクが64.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は50.0。	北朝鮮、ロシア、イスラエルの間接衝突化により、SNS上の不安と将来予見性の低下が強まる。
WE003	1	世界イベント	供給網不安拡大	0.20	全体	物価不安↑ 雇用安定↓	供給網不安	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ1: 地政学リスクが64.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は50.0。	供給網の不安定化により、物価と企業採用への不安が残る。
FB001	2	社会反応	生活防衛シフト	0.42	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	公平感欠損53.7、政策疲労41.8、生活防衛27.1	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
FB001	2	社会反応	生活防衛シフト	0.42	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	公平感欠損53.7、政策疲労41.8、生活防衛27.1	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
OE002	2	組織判断	企業・組織の採用育成判断	0.44	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	未来通信システム株式会社: 新卒は厳選継続、中途は安保・運用を増枠 / 首都圏業務支援株式会社: 新卒は小枠維持し不安配慮、中途はAI運用・BCP中心 / 北関東精密加工株式会社: 新卒は基礎技能+デジ素養で厳選維持、中途は品質/保全即戦力	未来通信システム株式会社: 選別不安が増す一方、安保系の職筋が見える / 首都圏業務支援株式会社: 不安を抑えつつ選別は強まり、説明可能性の学習が鍵 / 北関東精密加工株式会社: 採用枠は細るが育成は継続、AI不安を技能可視化で緩和 現役側には 未来通信システム株式会社: 再学習と危機対応負荷が増え、異動・内製化が進む / 首都圏業務支援株式会社: 顧客対応・監査へ再配置増、再学習負荷と心理負担が上がる / 北関東精密加工株式会社: 現場に改善・再学習圧力、雇用は守るが負荷は増える
PL001_01	2	政策探索	生活防衛支援の優先順位ガイド	0.50	物価・雇用不安が高い層（非正規、単身、子育て前の若年）	制度理解↑ 申請迷子↓ 政策疲労↓ 将来不安↓	LLM政策探索/通常政策のみ	日本	地政学・物価・供給不安が同時進行し、生活防衛層の不安と制度不信が先行。	何が使えるのか分からず、結局何も申請できない気がする。
PL001_02	2	政策探索	自治体ワンストップ簡素化（共通書類・一度の本人確認）	0.65	低所得〜中間層の勤労世帯・単身者（手続き負担が高い層）	申請コスト↓ 受給漏れ↓ 制度信頼↑ 政策疲労↓	LLM政策探索/通常政策のみ	日本	地政学・物価・供給不安が同時進行し、生活防衛層の不安と制度不信が先行。	支援があっても手続きが面倒で、働きながらだと無理だと思う。
PL002_01	2	政策探索	優先順位ガイドの分岐整理（3択）	0.52	注意層（非正規・単身・若年勤労）と中間層の制度迷子	情報過多↓ 申請迷子↓ 政策疲労↓ 制度信頼↑	LLM政策探索/通常政策のみ	日本	手続き負担は下げられるが、情報過多と対象外感で公平感欠損が固定化しやすい。	何が自分に効く支援かが毎回変わって見えて、探すだけで消耗している。
WE004	2	世界イベント	半導体・計算資源制約	0.20	全体	学習機会格差↑ 雇用不安↑	計算資源制約	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ2: 地政学リスクが66.3。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は47.3。	計算資源と半導体制約により、AI利用格差と進路不安が広がる。
WE005	2	世界イベント	AI雇用不安増幅	0.20	全体	希望経路↓ 自己効力感↓	雇用不確実性	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ2: 地政学リスクが66.3。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は47.3。	AIと景気の不確実性により、努力が報われる経路が見えにくくなる。
WE006	2	世界イベント	地政学SNS不安拡散	0.20	全体	不安↑ 怒り↑ 逃避行動↑	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ2: 地政学リスクが66.3。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は47.3。	危機情報がSNSで増幅し、不安と怒りが日常会話に入り込む。
WE007	2	制度制約	財政制約による支援遅れ	0.20	全体	制度信頼↓ 裏切られ感↑	日本社会状態	日本	ステップ2: 地政学リスクが66.3。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は47.3。	財政圧力により若者支援や生活支援が遅れ、制度への失望が出やすい。
FB002	3	社会反応	情報過敏の拡大	0.43	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	公平感欠損54.8、政策疲労47.0、情報過敏35.0	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
FB002	3	社会反応	情報過敏の拡大	0.43	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	公平感欠損54.8、政策疲労47.0、情報過敏35.0	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
OE003	3	組織判断	企業・組織の採用育成判断	0.39	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	未来通信システム株式会社: 新卒は厳選維持、中途は安保/供給網/運用を増枠 / 首都圏業務支援株式会社: 新卒は小枠維持、中途はAI運用・危機対応を優先 / さくら在宅ケア株式会社: 新卒少数継続、資格者・復職者・中途で欠員充当	未来通信システム株式会社: 学習資源格差が不安増。安保/運用志向の配属が増える / 首都圏業務支援株式会社: 新卒枠は細るが育成は実務直結、不安ケアが増える / さくら在宅ケア株式会社: 資格取得動機は上がるが、現場負荷不安で敬遠も増える 現役側には 未来通信システム株式会社: 安保・運用負荷増。再学習圧力と異動でストレス上昇 / 首都圏業務支援株式会社: 運用・顧客説明の再学習圧力、配置転換で摩擦も増 / さくら在宅ケア株式会社: IT負担増と物価不安で疲弊、再配置で役割転換が進む
PL002_02	3	政策探索	ワンストップの対面・電話伴走枠（自治体内で再配分）	0.58	デジタル弱者、手続き不慣れ、同居支援者がいない単身者	取り残し↓ 受給漏れ↓ 不公平感↓ 政策疲労↓	LLM政策探索/通常政策のみ	日本	手続き負担は下げられるが、情報過多と対象外感で公平感欠損が固定化しやすい。	オンライン前提だと、結局できる人だけ得してる気がして納得できない。
PL003_01	3	政策探索	対象外理由と優先順位の一枚説明（反発低減版）	0.42	注意層（非正規・単身・若年勤労）と中間層の制度迷子・対象外反発層	制度信頼↑ 公平感↑ 政策疲労↓ 申請迷子↓	LLM政策探索/通常政策のみ	日本	手続き簡素化は進む一方、副作用圧と公平感欠損が高く、説明不足が政策疲労と対象外反発を増幅。	制度が多すぎて、自分が対象かどうか確認するだけで疲れてしまう。
